Security Segment,Panel,CR,Gap Score,W0,W-1,W-2,W-3,W-4,W-5,M0,M-1,M-2,M-3,M-4,M-5,Q0,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7
,Panel 5,,1.7%,29.8%,18.9%,14.8%,10.2%,39.4%,31.0%,27.9%,22.2%,10.7%,13.0%,9.2%,5.7%,22.3%,11.0%,9.3%,-2.8%,48.2%,-17.3%,9.2%,17.2%
,Panel 1,,8.3%,-24.8%,-9.4%,-14.0%,8.9%,60.7%,-39.6%,10.7%,-17.0%,-7.5%,-10.6%,-16.8%,-3.4%,-3.3%,-11.6%,-14.0%,-4.3%,-6.7%,-5.7%,-3.2%,-13.8%
,Panel 5,1.18,4.5%,-6.5%,-19.0%,-18.8%,-12.9%,8.9%,-23.6%,-9.9%,-21.5%,-19.8%,-20.0%,-20.3%,-11.8%,-15.5%,-20.0%,-21.1%,1.9%,-1.2%,-0.3%,6.1%,-7.6%
,Panel 5,,7.4%,46.8%,28.0%,20.0%,13.0%,42.5%,-8.9%,27.2%,-0.2%,2.7%,14.6%,-2.0%,-6.6%,13.4%,6.0%,-20.5%,-11.5%,-13.6%,-9.2%,9.6%,-9.0%
,Panel 5,,0.5%,22.7%,2.4%,-2.6%,1.6%,29.8%,-31.0%,8.9%,-21.3%,-9.7%,-6.0%,-3.1%,26.5%,-5.9%,-6.5%,4.4%,25.7%,21.5%,21.2%,10.6%,-3.6%
,Panel 5,,57.9%,,,,,,-98.0%,,-96.5%,-15.5%,-48.0%,-58.7%,22.0%,-96.5%,-38.6%,26.4%,-53.9%,5829.1%,0.1%,-20.4%,512.1%
,Panel 5,,10.2%,43.5%,-2.5%,-1.3%,-11.8%,16.7%,-30.7%,2.4%,-20.3%,-11.7%,-28.5%,-14.2%,-24.4%,-9.0%,-19.1%,-20.0%,1.4%,-5.4%,0.2%,3.0%,-0.8%
,Panel 5,,40.5%,-99.9%,-56.6%,15.7%,56.4%,41.5%,56.4%,11.8%,57.9%,1.3%,-14.5%,-6.6%,-1.7%,33.2%,-7.3%,-7.4%,-8.7%,-8.5%,-8.0%,-4.7%,-16.8%
,Panel 5,,9.0%,3.2%,-7.9%,-26.5%,-14.8%,-11.3%,-12.1%,-16.0%,-29.5%,-10.8%,-18.0%,-11.5%,-12.3%,-22.2%,-13.2%,-18.3%,-11.8%,-6.2%,-3.3%,24.8%,-1.1%
,Panel 5,,4.6%,46.5%,-5.1%,-2.9%,-7.4%,70.2%,-11.2%,14.2%,-2.5%,3.9%,5.3%,-5.7%,-2.0%,5.9%,1.3%,-11.9%,1.3%,-8.1%,-4.9%,3.4%,-3.9%
,Panel 5,,0.0%,,,,,,,,,,,,-97.9%,,,-99.5%,-100.0%,-100.0%,-95.2%,215.4%,
,Panel 5,,5.0%,40.2%,8.5%,5.2%,-9.5%,26.2%,7.2%,8.3%,1.7%,0.6%,3.0%,-3.8%,-3.3%,5.2%,0.2%,-10.5%,0.1%,-7.4%,-9.9%,-3.1%,-12.0%
,Panel 1,,9.2%,-27.4%,-14.0%,-18.9%,3.5%,53.4%,-41.1%,5.3%,-20.7%,-13.6%,-16.0%,-21.5%,-8.2%,-7.7%,-17.0%,-18.1%,-3.8%,-7.8%,-6.0%,-3.7%,-13.9%
,Panel 1,0.46,13.2%,-19.4%,0.3%,-16.2%,14.2%,89.2%,-53.3%,19.6%,-23.6%,-12.3%,-11.8%,-25.2%,-4.1%,-2.4%,-15.6%,-17.8%,-3.2%,-8.0%,-5.4%,-3.8%,-16.8%
,Panel 1,0.82,18.2%,50.2%,15.0%,-5.6%,6.8%,62.7%,-35.9%,23.9%,-17.4%,-0.3%,-21.2%,-21.8%,-18.8%,3.2%,-15.0%,-16.5%,10.4%,-10.9%,-3.1%,-1.6%,-4.3%
,Panel 1,,42.1%,-100.1%,-52.2%,35.2%,59.7%,35.5%,50.3%,11.7%,70.9%,3.9%,-10.4%,-4.4%,6.9%,37.8%,-4.3%,0.8%,-8.5%,-10.4%,-9.8%,-13.6%,-16.9%
,Panel 1,2.73,11.9%,-22.4%,-7.7%,-25.4%,-10.6%,0.9%,-16.9%,-9.9%,-31.2%,-2.4%,-13.9%,-7.7%,-4.8%,-20.3%,-8.4%,-9.6%,-10.2%,-6.4%,-1.6%,11.7%,-0.2%
,Panel 1,1.74,5.2%,2.8%,-12.7%,-13.7%,-11.6%,103.2%,-18.7%,14.0%,-6.5%,8.6%,9.2%,7.5%,-2.5%,3.3%,8.5%,-9.2%,2.7%,-8.4%,-8.9%,-4.7%,-9.1%
,Panel 3,,1.3%,-11.7%,-2.9%,-12.0%,-3.9%,27.8%,-27.4%,0.0%,-15.0%,-8.6%,-3.8%,-3.7%,1.2%,-6.6%,-5.3%,-10.4%,5.0%,4.2%,6.0%,12.9%,-4.6%
,Panel 3,2.81,10.7%,-19.8%,-14.7%,-26.8%,-10.8%,-3.1%,-10.0%,-14.9%,-26.0%,-7.4%,-17.1%,-3.9%,-3.3%,-19.5%,-8.8%,-12.4%,-5.3%,-1.7%,6.2%,29.9%,6.3%
,Panel 3,2.38,3.8%,-2.2%,1.6%,-2.7%,-9.0%,62.2%,-27.5%,10.1%,-4.1%,-0.6%,1.7%,-1.8%,-6.3%,3.7%,-0.1%,-13.9%,-2.7%,-5.6%,-5.0%,4.7%,-4.1%
,Panel 3,0.53,1.3%,-12.4%,0.6%,-6.5%,0.2%,34.6%,-33.3%,3.8%,-13.6%,-10.4%,-1.7%,-4.1%,5.0%,-4.0%,-5.2%,-8.9%,10.5%,9.0%,8.7%,10.9%,-7.8%
,Panel 5,,0.0%,14.1%,12.5%,12.7%,11.5%,7.5%,11.5%,12.5%,11.4%,2.1%,-4.0%,-6.0%,-3.5%,4.6%,-4.6%,-5.4%,-1.6%,15.7%,51.4%,107.2%,93.5%
,Panel 5,,0.0%,24.4%,21.6%,22.2%,24.5%,19.2%,24.8%,23.2%,22.2%,15.6%,9.1%,5.3%,7.7%,17.0%,6.9%,6.3%,12.0%,8.1%,22.7%,28.3%,5.3%
,Panel 5,,0.0%,-4.6%,-12.1%,-14.3%,-20.1%,-20.9%,-23.3%,-22.7%,-16.0%,-28.8%,-34.7%,-33.7%,-32.1%,-25.5%,-32.8%,-36.7%,-34.5%,-19.7%,-0.8%,12.7%,-4.2%
,Panel 5,,0.0%,-3.3%,0.5%,-0.6%,3.8%,4.6%,11.4%,-6.4%,1.9%,-6.8%,-18.4%,-20.8%,-10.5%,-5.8%,-16.1%,-7.6%,-1.5%,-3.3%,-12.6%,-16.5%,-29.9%
,Panel 5,,0.0%,2.4%,6.5%,8.4%,1.9%,-2.1%,2.0%,10.5%,3.5%,-7.4%,-10.4%,-10.3%,-8.1%,-3.5%,-9.3%,-8.4%,-7.0%,-7.1%,10.3%,13.8%,-3.4%
,Panel 5,,0.0%,-14.9%,-16.0%,-8.0%,-14.4%,-23.2%,-19.9%,-29.7%,-14.2%,-25.3%,-30.7%,-28.4%,-21.6%,-22.8%,-25.1%,-12.9%,-28.1%,-31.6%,-24.8%,-43.4%,-51.2%
,Panel 5,,3.8%,5.0%,28.6%,-2.3%,-12.4%,5.1%,-9.3%,122.8%,4.8%,2.1%,6.1%,-8.5%,3.5%,122.8%,4.3%,0.5%,8.2%,5.9%,6.7%,4.6%,4.7%
,Panel 5,,7.7%,-6.2%,12.7%,-31.0%,-57.9%,-93.2%,-35.8%,-52.8%,-55.6%,-55.2%,-68.8%,-61.3%,-67.1%,-52.8%,-58.7%,-66.4%,-70.6%,-47.3%,17.5%,15.2%,-5.0%
,Panel 5,,1.5%,39.6%,21.9%,-2.2%,-27.5%,9.4%,-7.2%,32.1%,3.8%,-0.7%,3.7%,-0.2%,4.9%,32.1%,2.3%,3.7%,7.0%,5.5%,4.9%,3.0%,3.8%
,Panel 5,,11.7%,-39.2%,37.9%,-2.4%,9.7%,-0.5%,-11.8%,2654.5%,6.3%,6.5%,9.6%,-21.4%,1.6%,2654.5%,7.5%,-4.1%,10.1%,6.7%,9.5%,7.0%,6.2%
,Panel 5,1.03,25.7%,16.3%,-3.5%,-2.9%,13.7%,11.2%,-8.6%,42.0%,7.1%,6.0%,-20.8%,-26.8%,-35.2%,42.0%,-4.8%,-30.5%,-29.7%,-45.2%,-7.6%,11.4%,-12.9%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,,,,,
,Panel 5,,27.1%,12.8%,-8.6%,-9.5%,10.5%,4.9%,-18.6%,38.1%,2.5%,0.6%,-28.5%,-34.8%,-43.5%,38.1%,-11.4%,-38.5%,-24.0%,-42.2%,10.2%,81.5%,27.3%
,Panel 5,,18.3%,29.4%,20.1%,26.1%,28.7%,47.7%,59.5%,48.5%,29.0%,41.1%,44.5%,26.9%,29.5%,48.5%,38.1%,19.8%,-47.5%,-53.7%,-49.5%,-43.7%,-18.7%
,Panel 5,,0.0%,74.0%,37.4%,8.8%,20.6%,139.2%,68.1%,66.6%,50.2%,20.7%,25.5%,18.3%,31.0%,49.5%,27.1%,18.6%,13.1%,44.7%,34.1%,37.7%,24.9%
,Panel 1,,3.6%,-8.9%,-7.5%,-1.8%,-6.7%,-18.4%,-0.4%,-9.0%,-1.2%,-5.5%,-3.3%,-1.1%,-1.9%,-8.0%,-4.4%,-1.2%,0.9%,-1.4%,-0.8%,-3.5%,-3.9%
,Panel 3,0.78,1.4%,-1.7%,-0.5%,-5.1%,-0.7%,-1.8%,2.3%,-2.0%,1.3%,-0.5%,-1.8%,2.2%,-0.1%,-0.1%,-1.5%,7.3%,2.9%,4.2%,4.6%,3.6%,0.3%
,Panel 5,1.68,0.6%,4.5%,2.6%,-0.7%,-3.9%,-1.4%,1.3%,-0.2%,0.9%,0.6%,-0.3%,2.1%,-0.3%,0.1%,-0.5%,7.6%,4.2%,-0.8%,-1.0%,-2.4%,-4.5%
,Panel 5,,14.4%,-57.2%,32.9%,18.2%,37.7%,30.7%,-9.0%,16.2%,-15.0%,5.4%,22.8%,-2.7%,17.2%,-1.6%,12.8%,18.8%,0.7%,11.1%,-2.9%,3.7%,15.3%
,Panel 5,,7.6%,-17.4%,-28.5%,-32.7%,-16.4%,32.3%,-41.9%,-11.5%,-39.3%,-29.9%,-33.2%,-44.7%,-25.1%,-25.1%,-32.7%,-27.5%,-11.9%,-20.6%,-26.7%,-14.7%,-30.5%
,Panel 5,,0.7%,4.7%,2.5%,-0.8%,-4.0%,-1.5%,1.3%,-0.2%,1.0%,0.5%,-0.3%,2.1%,-0.3%,0.1%,-0.5%,7.6%,4.9%,2.7%,2.1%,1.0%,-1.0%
,Panel 5,,0.0%,,,,,,,,,,,,,,,,5.2%,-4.3%,-25.6%,-2.8%,0.0%
,Panel 1,1.28,3.6%,-8.9%,-7.5%,-1.8%,-6.7%,-18.4%,-0.4%,-9.0%,-1.2%,-5.5%,-3.3%,-1.1%,-1.9%,-8.0%,-4.4%,-1.2%,0.9%,-1.4%,-0.8%,-3.5%,-3.9%
,Panel 1,,3.7%,-8.6%,-7.2%,-1.9%,-4.2%,-19.9%,0.4%,-8.7%,0.5%,-4.1%,-3.1%,0.2%,-0.5%,-7.2%,-3.6%,0.3%,2.8%,0.8%,1.4%,-1.3%,-2.2%
,Panel 1,,0.0%,14.0%,-5.2%,-2.8%,-25.2%,-9.4%,35.9%,-7.8%,-10.9%,-3.3%,-6.7%,-15.1%,-19.9%,-9.0%,-8.4%,-18.0%,-32.3%,-35.5%,-34.5%,-23.8%,-9.2%
,Panel 1,,0.0%,20.5%,-5.3%,-5.0%,-22.8%,-29.2%,79.7%,-10.7%,-5.2%,0.1%,-3.8%,-13.6%,-16.0%,-8.3%,-5.8%,-16.7%,-28.0%,-27.3%,-28.4%,-18.0%,-8.8%
,Panel 1,,4.0%,-13.9%,-2.5%,-14.3%,-11.6%,-7.5%,1.8%,-9.8%,-13.9%,-14.0%,-12.8%,-12.6%,-14.2%,-9.8%,-13.8%,-14.0%,-13.4%,-8.1%,-6.9%,-8.5%,-5.7%
,Panel 3,2.55,3.1%,-13.4%,1.0%,-17.0%,-11.8%,-5.3%,2.0%,-9.5%,-14.1%,-12.3%,-11.2%,-11.7%,-11.2%,-9.5%,-12.6%,-11.1%,-9.9%,-11.6%,-1.6%,-3.6%,-2.3%
,Panel 5,1.72,0.9%,-13.0%,-1.2%,-15.1%,-14.1%,-9.4%,-1.0%,-11.0%,-13.9%,-11.6%,-9.7%,-10.3%,-11.4%,-11.0%,-11.8%,-11.0%,-11.3%,-13.6%,-1.7%,-7.3%,-1.7%
,Panel 5,,7.4%,-14.0%,1.4%,-15.8%,-14.6%,-10.9%,-14.5%,-11.6%,-16.3%,-25.3%,-17.7%,-12.6%,-13.9%,-11.6%,-19.0%,-13.8%,-10.5%,-22.8%,19.9%,18.0%,15.9%
,Panel 5,,0.3%,-17.4%,-3.8%,-17.3%,-18.6%,-13.9%,4.6%,-14.4%,-15.2%,-14.5%,-12.5%,-12.8%,-14.0%,-14.4%,-14.1%,-13.6%,-15.7%,-16.5%,-5.5%,-10.0%,-4.1%
,Panel 5,,0.0%,-7.0%,-3.2%,-10.1%,-3.2%,29.3%,-16.1%,2.1%,-14.9%,-3.1%,4.2%,2.1%,0.9%,2.1%,-4.1%,1.8%,15.2%,29.7%,38.6%,35.0%,27.7%
,Panel 5,,7.9%,2.1%,46.6%,14.7%,21.3%,4.7%,2.2%,16.8%,6.6%,12.0%,9.5%,8.1%,4.2%,16.8%,8.8%,6.1%,4.5%,-23.0%,-4.4%,-20.7%,-16.9%
,Panel 5,,4.1%,4.6%,1.7%,-15.3%,-9.2%,-7.1%,-10.9%,-7.8%,-12.6%,-10.4%,-12.0%,-11.3%,-11.5%,-7.8%,-11.9%,-11.8%,-14.1%,-12.9%,-4.0%,-9.8%,0.7%
,Panel 5,,24.8%,-47.7%,1043.4%,128.5%,-16.0%,-56.5%,-67.3%,12.3%,-18.2%,27.3%,99.8%,436.8%,-85.5%,12.3%,37.1%,13.0%,-67.4%,19.7%,36.7%,234.1%,-11.0%
,Panel 5,,1.7%,-21.9%,15.6%,-2.8%,-10.3%,-13.7%,-7.4%,-4.1%,-4.5%,-3.4%,0.0%,2.8%,0.5%,-4.1%,-2.5%,-0.2%,-4.8%,-11.4%,-5.7%,-4.6%,1.1%
,Panel 5,,0.0%,,,,,,,,,,-68.2%,-64.1%,-86.6%,,-68.2%,-89.7%,-80.7%,-82.2%,-37.7%,52.6%,4.7%
,Panel 5,,0.0%,148.9%,36.6%,-34.1%,44.9%,2.6%,-51.0%,10.2%,-19.9%,-7.0%,-6.5%,-15.0%,21.5%,10.2%,-10.8%,3.5%,23.9%,-9.6%,23.5%,5.3%,-16.4%
,Panel 5,,24.2%,27.9%,51.9%,14.5%,5.8%,1.4%,-38.3%,9.3%,-21.6%,-0.2%,-4.3%,0.0%,-6.7%,9.3%,-14.9%,0.8%,8.4%,-9.2%,50.9%,9.0%,11.8%
,Panel 1,2.32,4.0%,-13.9%,-2.5%,-14.3%,-11.6%,-7.5%,1.8%,-9.8%,-13.9%,-14.0%,-12.8%,-12.6%,-14.2%,-9.8%,-13.8%,-14.0%,-13.4%,-8.1%,-6.9%,-8.5%,-5.7%
,Panel 1,,3.9%,-14.5%,-3.5%,-16.7%,-14.4%,-6.5%,8.7%,-11.1%,-14.8%,-15.0%,-14.7%,-13.8%,-15.6%,-11.1%,-15.1%,-15.2%,-15.3%,-10.7%,-9.9%,-11.1%,-9.9%
,Panel 1,,7.5%,-17.1%,-16.1%,-4.0%,9.6%,21.8%,-7.6%,-1.3%,-14.3%,-9.6%,-3.1%,-5.9%,-10.3%,-1.3%,-8.8%,-9.1%,1.5%,20.5%,18.4%,20.4%,19.5%
,Panel 1,,4.3%,-28.8%,-9.2%,-6.6%,-7.2%,-25.4%,-18.4%,-13.2%,-20.2%,-18.6%,-10.5%,-10.5%,-8.3%,-13.2%,-17.5%,-9.0%,-15.6%,-13.6%,-2.0%,-15.8%,-9.7%
,Panel 1,,1.1%,-3.1%,10.0%,-12.3%,-14.9%,-18.9%,-8.9%,-9.8%,-7.2%,-12.4%,-13.7%,-13.0%,-11.2%,-9.8%,-10.9%,-16.3%,-19.7%,-12.0%,-15.2%,-16.8%,-3.7%
,Panel 1,,5.5%,-8.3%,2.8%,-11.2%,-11.6%,-33.8%,-11.8%,-13.0%,-5.2%,-6.7%,-10.2%,-0.9%,-4.9%,-13.0%,-7.5%,-4.7%,-8.8%,-0.3%,-1.4%,-4.4%,-1.9%
,Panel 1,,11.0%,-35.4%,-6.7%,10.7%,131.6%,-32.4%,-41.9%,-0.9%,-2.8%,-19.4%,-12.7%,-31.2%,-17.2%,-0.9%,-12.0%,-0.6%,-12.4%,8.0%,18.1%,11.8%,5.7%
,Panel 1,,29.6%,5.5%,34.0%,15.7%,0.6%,4.1%,-40.8%,9.4%,-25.7%,-8.4%,-5.2%,-5.5%,-15.3%,9.4%,-20.2%,-7.1%,-0.9%,-11.1%,41.4%,1.6%,5.7%
,Panel 5,,2.4%,-1.3%,-16.9%,-8.8%,-7.5%,-12.6%,-23.7%,21.8%,-13.1%,-11.7%,-18.7%,-22.0%,-18.2%,-10.5%,-14.3%,-20.3%,-20.4%,-20.5%,-21.4%,-9.1%,-12.6%
,Panel 5,,80.5%,,315.0%,-97.5%,178.2%,471.6%,275.1%,,2.2%,115.3%,-22.1%,196.2%,82.2%,,5.9%,60.0%,-18.3%,48.3%,-38.2%,-34.2%,7.1%
,Panel 5,,81.5%,,315.0%,-97.5%,178.2%,471.6%,275.1%,,2.2%,115.3%,-22.1%,196.2%,82.2%,,5.9%,59.3%,-18.3%,48.3%,-38.2%,-33.9%,7.1%
,Panel 5,,5.3%,-21.7%,-5.9%,-0.9%,-22.7%,-17.9%,-28.4%,13.8%,-15.4%,-10.2%,-25.8%,-23.7%,-16.7%,-30.6%,-16.5%,-19.9%,-19.0%,-23.9%,-24.1%,-14.7%,-15.8%
,Panel 5,,4.7%,-21.4%,-5.9%,-0.5%,-22.5%,-15.3%,-27.7%,13.8%,-14.7%,-8.9%,-25.0%,-23.3%,-16.7%,-30.8%,-15.6%,-19.3%,-18.9%,-23.7%,-23.5%,-13.8%,-14.9%
,Panel 5,,1.4%,9.0%,-21.3%,-11.4%,0.9%,-10.2%,-22.2%,23.9%,-12.0%,-12.7%,-15.3%,-21.6%,-19.3%,0.6%,-13.3%,-20.8%,-21.0%,-19.1%,-20.0%,-6.1%,-11.2%
,Panel 5,,1.5%,8.2%,-21.7%,-11.5%,1.2%,-10.3%,-22.5%,19.9%,-12.1%,-12.7%,-15.5%,-21.6%,-19.4%,-0.1%,-13.4%,-20.8%,-21.3%,-19.4%,-20.1%,-5.5%,-10.8%
,Panel 5,1.02,2.0%,17.0%,24.4%,-0.1%,-10.1%,-11.2%,40.4%,2.1%,-13.5%,1.1%,5.9%,-11.7%,-27.6%,-4.4%,-2.4%,-10.9%,-3.6%,-13.3%,-11.3%,4.7%,-14.1%
,Panel 1,1.06,1.6%,9.5%,-3.9%,-3.2%,-13.9%,-18.7%,56.0%,-6.9%,-9.4%,-6.8%,-2.8%,-15.6%,-36.2%,-7.4%,-9.0%,-14.1%,-0.9%,-10.8%,-9.3%,3.2%,-15.5%
,Panel 3,1.00,0.3%,1.6%,4.8%,-6.6%,-17.9%,-5.4%,30.9%,-4.5%,-15.5%,0.6%,-2.0%,-20.5%,-41.3%,-8.4%,-8.8%,-16.1%,-1.9%,-13.4%,-7.8%,12.5%,-11.1%
,Panel 1,,5.1%,-1.8%,11.3%,-11.1%,-1.8%,81.9%,74.6%,12.8%,-12.5%,-5.6%,-5.6%,-5.7%,-4.6%,-0.5%,-5.7%,-4.5%,-7.7%,-6.3%,-9.0%,-5.3%,-4.7%
,Panel 5,1.76,1.6%,-4.5%,9.7%,-13.2%,-3.7%,62.2%,85.6%,7.9%,-15.4%,-3.7%,-2.7%,-1.9%,-2.6%,-4.3%,-2.7%,-2.4%,-4.1%,-8.4%,-3.5%,-0.4%,-1.1%
,Panel 3,1.56,1.2%,0.9%,8.6%,-9.5%,-0.7%,60.5%,22.1%,9.9%,-7.8%,-0.9%,0.6%,2.8%,1.0%,2.1%,0.9%,2.0%,4.2%,-3.0%,6.0%,6.5%,5.1%
,Panel 5,,0.3%,-5.3%,10.7%,-13.6%,-4.2%,63.6%,86.0%,8.0%,-16.2%,-4.7%,-4.5%,-3.9%,-4.0%,-4.7%,-4.4%,-4.3%,-5.5%,-9.1%,-3.8%,-0.2%,-0.9%
,Panel 5,,12.8%,12.5%,10.4%,30.5%,30.6%,28.9%,47.8%,22.8%,41.4%,36.1%,44.7%,50.2%,41.9%,31.2%,44.0%,37.5%,-4.4%,-2.0%,-8.1%,-8.8%,-7.3%
,Panel 5,,3.2%,124.9%,-24.8%,-11.5%,-1.8%,8.7%,-32.9%,-4.2%,-8.5%,-1.6%,-8.7%,2.7%,-7.0%,-6.3%,-3.2%,-4.2%,-0.5%,-1.5%,-0.2%,1.9%,6.5%
,Panel 5,,0.9%,19.9%,-19.1%,-14.3%,-0.9%,54.8%,197.8%,3.0%,-1.4%,10.7%,-6.2%,2.6%,-18.1%,0.5%,1.4%,-0.4%,4.8%,-5.3%,-3.7%,3.6%,1.6%
,Panel 5,,17.7%,-63.8%,-8.3%,9.3%,7.6%,5.9%,-11.8%,-9.0%,-17.0%,-11.4%,-34.1%,-41.6%,-51.7%,-13.8%,-31.6%,-39.8%,-39.6%,-48.0%,-20.0%,-8.3%,-4.8%
,Panel 1,1.56,4.9%,-1.8%,11.3%,-11.1%,-1.8%,81.9%,74.6%,12.8%,-12.5%,-5.6%,-5.2%,-5.4%,-4.2%,-0.5%,-5.4%,-4.1%,-7.2%,-6.0%,-8.9%,-5.3%,-4.8%
,Panel 5,,4.8%,59.9%,-2.1%,-25.9%,143.5%,-15.9%,-64.1%,33.4%,4.5%,6.2%,20.3%,28.0%,6.5%,33.4%,10.4%,15.3%,-3.1%,7.4%,13.8%,26.4%,22.6%
,Panel 5,,0.0%,-98.6%,-94.1%,-94.5%,-98.6%,-90.4%,-97.1%,-94.9%,-96.3%,-96.5%,-96.9%,-94.8%,-95.4%,-98.6%,-95.8%,-95.8%,-92.1%,-70.0%,9.3%,-12.0%,-73.0%
,Panel 3,1.64,2.8%,0.7%,7.6%,-19.3%,-13.9%,14.7%,31.9%,-2.5%,-7.2%,-2.6%,-4.7%,-1.1%,-3.8%,0.4%,-4.5%,-1.7%,-2.2%,3.9%,2.0%,-1.7%,0.5%
,Panel 1,1.28,1.1%,3.7%,0.1%,-18.3%,-23.1%,-12.7%,82.3%,-10.5%,-7.5%,-0.6%,-10.6%,-4.1%,-13.8%,4.3%,-8.3%,-9.4%,-4.4%,-3.4%,-2.6%,-7.6%,-7.2%
,Panel 5,3.49,0.5%,-4.9%,7.0%,-16.6%,-12.3%,-11.3%,70.9%,-7.5%,-7.4%,-5.8%,-4.9%,-5.0%,-8.1%,-7.1%,-6.7%,-6.2%,-5.0%,1.1%,-3.2%,-8.0%,-9.6%
,Panel 5,2.72,1.7%,-14.2%,4.3%,-8.7%,-2.2%,-0.8%,38.2%,-3.1%,-7.2%,2.0%,-6.9%,-3.9%,6.9%,-5.1%,-3.4%,-1.3%,1.1%,-5.0%,-0.4%,-4.4%,-7.4%
,Panel 1,1.53,0.5%,32.4%,2.8%,-10.3%,-1.1%,-12.5%,18.8%,-1.1%,-6.1%,-0.8%,-7.6%,1.1%,6.7%,-3.5%,-3.0%,0.1%,-0.3%,0.5%,-3.8%,-6.8%,-8.0%
,Panel 3,1.65,0.1%,18.6%,2.0%,-6.5%,-0.3%,-5.5%,10.1%,-0.4%,-7.5%,-1.4%,-7.8%,0.1%,0.9%,-3.5%,-3.6%,2.4%,1.2%,-1.7%,2.8%,-1.1%,-5.4%
,Panel 5,2.54,0.8%,-7.9%,1.7%,-11.9%,-8.9%,-5.5%,8.5%,-6.9%,-5.5%,-7.0%,-7.2%,-1.5%,-2.6%,-6.2%,-5.4%,-4.6%,-2.2%,-7.0%,-1.0%,-0.1%,-0.8%
,Panel 1,2.52,0.8%,-9.4%,-2.2%,-9.7%,-12.4%,-10.0%,14.5%,-9.2%,-2.0%,-6.7%,-8.5%,-5.4%,-6.1%,-6.1%,-7.0%,-6.9%,-4.8%,-4.0%,-5.7%,-4.4%,-6.3%
,Panel 3,7.80,0.2%,-6.9%,0.9%,-12.2%,-6.3%,-8.0%,17.4%,-6.8%,-2.0%,-7.0%,-6.0%,-1.4%,-4.6%,-4.8%,-4.9%,-4.1%,-2.4%,-8.1%,0.7%,2.1%,1.0%
,Panel 5,2.88,2.1%,9.6%,-2.0%,-3.7%,3.7%,-6.0%,8.8%,15.0%,-2.7%,3.4%,-0.3%,-5.0%,-1.8%,91.5%,-0.7%,-2.8%,-1.1%,-2.6%,0.7%,2.3%,-1.9%
,Panel 1,2.85,2.0%,0.4%,-3.6%,0.5%,-8.0%,-16.6%,-0.3%,13.8%,-7.8%,1.2%,-1.5%,-9.8%,-2.7%,13.1%,-3.9%,-5.9%,-1.8%,-1.3%,0.3%,3.4%,0.4%
,Panel 3,2.99,1.9%,-2.7%,4.1%,-6.0%,-4.5%,-8.9%,4.1%,-9.6%,-1.4%,-2.5%,-7.9%,3.6%,-2.8%,-22.5%,-1.1%,-3.1%,0.9%,2.4%,2.5%,6.6%,9.1%
,Panel 5,,1.6%,9.1%,-1.7%,-3.5%,3.4%,-6.1%,7.7%,14.0%,-2.6%,2.5%,-0.7%,-5.5%,-1.6%,92.6%,-1.1%,-2.6%,0.3%,-0.7%,2.7%,5.0%,0.4%
,Panel 1,1.67,2.3%,-25.4%,9.6%,-15.1%,-5.9%,-28.9%,53.2%,-12.9%,-14.1%,-9.9%,-15.3%,-6.6%,-7.0%,-13.0%,-10.7%,-11.9%,-13.8%,-8.0%,-8.7%,0.3%,-4.1%
,Panel 5,1.47,0.4%,-4.6%,24.4%,-8.5%,-4.5%,-1.7%,44.9%,0.2%,-7.4%,-1.2%,-6.4%,-1.8%,-1.0%,-2.8%,-3.2%,-3.0%,-5.1%,-7.5%,-3.4%,-0.1%,-4.7%
,Panel 5,0.54,0.2%,9.7%,1.4%,-0.3%,15.3%,5.6%,17.1%,-7.0%,6.7%,2.8%,6.2%,3.5%,4.1%,-7.0%,5.3%,5.5%,3.4%,6.9%,6.1%,2.9%,3.2%
,Panel 5,,29.9%,4.2%,13.1%,-16.3%,54.8%,-11.4%,22.0%,22.6%,8.0%,-2.9%,9.4%,18.7%,48.0%,22.6%,4.8%,34.7%,-2.4%,41.3%,54.7%,76.7%,138.8%
,Panel 5,,56.0%,322.9%,191.7%,163.5%,161.4%,164.3%,286.2%,405.0%,184.2%,187.3%,149.2%,116.2%,85.6%,405.0%,171.7%,115.7%,98.7%,91.5%,223.2%,295.1%,251.7%
,Panel 5,,660.6%,,,,,,,,,,-100.0%,280.5%,,,-21.3%,639.3%,,,413.8%,-96.2%,
,Panel 5,,67.8%,20159.1%,-99.7%,-95.3%,125.7%,-69.4%,69.6%,,-10.2%,86.7%,-22.7%,-67.9%,-40.8%,,9.6%,-58.2%,-62.9%,-67.3%,-85.6%,3.3%,-14.0%
,Panel 5,,4.2%,-5.2%,-13.7%,-4.8%,-2.3%,-1.7%,4.4%,-26.7%,-4.9%,-5.8%,-3.7%,-10.4%,-9.4%,-26.7%,-4.7%,-8.9%,-5.4%,-3.9%,-3.4%,-7.4%,-9.7%
,Panel 5,,60.9%,-38.3%,31.6%,-40.9%,-2.1%,-2.4%,-10.0%,-51.4%,-7.9%,-28.4%,-12.1%,59.5%,41.3%,-51.4%,-16.7%,44.2%,75.9%,58.7%,64.2%,-8.0%,-12.5%
